コード,Cluster_From,Cluster_To,Period
2763,1,0,2010-2011
2764,0,0,2010-2011
2767,2,3,2010-2011
2768,3,3,2010-2011
2769,0,0,2010-2011
2776,1,1,2010-2011
2778,0,0,2010-2011
2780,4,0,2010-2011
2782,2,2,2010-2011
2784,3,3,2010-2011
2788,0,0,2010-2011
2789,0,4,2010-2011
2790,3,3,2010-2011
2791,0,0,2010-2011
2792,2,2,2010-2011
2795,4,4,2010-2011
2796,0,0,2010-2011
2798,1,1,2010-2011
2801,3,3,2010-2011
2802,3,3,2010-2011
2804,4,4,2010-2011
2805,3,3,2010-2011
2806,4,2,2010-2011
2809,3,3,2010-2011
2810,2,2,2010-2011
2811,2,3,2010-2011
2813,4,1,2010-2011
2814,4,4,2010-2011
2815,2,2,2010-2011
2816,4,4,2010-2011
2818,0,0,2010-2011
2819,2,2,2010-2011
2831,2,0,2010-2011
2871,3,3,2010-2011
2872,4,1,2010-2011
2874,0,0,2010-2011
2875,2,2,2010-2011
2876,0,0,2010-2011
2877,0,0,2010-2011
2882,0,0,2010-2011
2892,0,0,2010-2011
2894,4,4,2010-2011
2897,3,3,2010-2011
2901,1,1,2010-2011
2903,0,2,2010-2011
2904,0,0,2010-2011
2907,0,0,2010-2011
2908,2,2,2010-2011
2910,2,2,2010-2011
2911,0,0,2010-2011
2914,3,3,2010-2011
2915,0,0,2010-2011
2916,0,0,2010-2011
2917,4,4,2010-2011
2918,2,2,2010-2011
2922,0,0,2010-2011
2923,0,0,2010-2011
2924,0,0,2010-2011
2926,4,1,2010-2011
2927,0,0,2010-2011
2929,1,1,2010-2011
2931,4,4,2010-2011
3001,3,0,2010-2011
3002,3,3,2010-2011
3003,3,3,2010-2011
3004,0,0,2010-2011
3010,1,1,2010-2011
3011,4,0,2010-2011
3020,0,4,2010-2011
3021,4,4,2010-2011
3023,0,0,2010-2011
3024,0,0,2010-2011
3028,2,2,2010-2011
3030,4,4,2010-2011
3031,0,0,2010-2011
3034,0,0,2010-2011
3035,0,0,2010-2011
3036,0,0,2010-2011
3038,3,3,2010-2011
3040,4,4,2010-2011
3041,0,0,2010-2011
3042,1,1,2010-2011
3045,0,0,2010-2011
3046,0,0,2010-2011
3048,3,3,2010-2011
3050,3,3,2010-2011
3053,1,1,2010-2011
3054,0,0,2010-2011
3058,0,0,2010-2011
3059,0,0,2010-2011
3063,0,0,2010-2011
3064,4,0,2010-2011
3065,0,0,2010-2011
3067,4,1,2010-2011
3068,0,0,2010-2011
3069,1,1,2010-2011
3070,0,0,2010-2011
3071,0,0,2010-2011
3073,0,0,2010-2011
3075,4,4,2010-2011
3076,2,2,2010-2011
3077,4,0,2010-2011
3079,0,0,2010-2011
3080,0,0,2010-2011
3082,4,4,2010-2011
3083,0,1,2010-2011
3086,3,3,2010-2011
3087,2,2,2010-2011
3088,3,3,2010-2011
3089,4,4,2010-2011
3091,4,4,2010-2011
3092,4,2,2010-2011
3093,0,0,2010-2011
3094,0,0,2010-2011
3096,0,0,2010-2011
3097,0,0,2010-2011
3099,3,3,2010-2011
3101,3,3,2010-2011
3103,3,3,2010-2011
3104,0,0,2010-2011
3105,3,3,2010-2011
3106,3,3,2010-2011
3107,3,3,2010-2011
3109,0,0,2010-2011
3110,3,3,2010-2011
3111,0,0,2010-2011
3113,1,1,2010-2011
3116,3,3,2010-2011
3123,0,0,2010-2011
3140,0,1,2010-2011
3141,3,3,2010-2011
3143,0,4,2010-2011
3148,2,2,2010-2011
3150,4,4,2010-2011
3151,3,3,2010-2011
3153,0,2,2010-2011
3154,0,0,2010-2011
3157,3,0,2010-2011
3160,0,0,2010-2011
3161,4,4,2010-2011
3168,0,0,2010-2011
3169,0,0,2010-2011
3172,4,4,2010-2011
3173,0,0,2010-2011
3174,0,0,2010-2011
3176,0,0,2010-2011
3178,0,0,2010-2011
3201,3,3,2010-2011
3202,1,0,2010-2011
3204,0,0,2010-2011
3205,0,0,2010-2011
3231,3,3,2010-2011
3232,3,3,2010-2011
3237,1,4,2010-2011
3238,0,0,2010-2011
3241,1,0,2010-2011
3242,0,0,2010-2011
3245,1,1,2010-2011
3246,1,0,2010-2011
3248,0,0,2010-2011
3252,0,0,2010-2011
3261,1,1,2010-2011
3266,1,1,2010-2011
3276,4,4,2010-2011
3277,0,0,2010-2011
3302,2,0,2010-2011
3306,0,0,2010-2011
3315,3,3,2010-2011
3317,4,4,2010-2011
3320,0,0,2010-2011
3321,0,0,2010-2011
3323,1,0,2010-2011
3326,0,1,2010-2011
3329,4,4,2010-2011
3333,4,4,2010-2011
3341,0,0,2010-2011
3349,3,3,2010-2011
3350,1,1,2010-2011
3352,4,4,2010-2011
3353,0,0,2010-2011
3355,0,0,2010-2011
3358,0,4,2010-2011
3359,4,0,2010-2011
3360,3,3,2010-2011
3361,0,0,2010-2011
3370,0,0,2010-2011
3371,4,4,2010-2011
3372,1,1,2010-2011
3374,0,0,2010-2011
3375,1,4,2010-2011
3377,1,4,2010-2011
3382,3,3,2010-2011
3386,4,4,2010-2011
3387,0,0,2010-2011
3388,4,4,2010-2011
3391,2,2,2010-2011
3392,0,0,2010-2011
3393,4,4,2010-2011
3395,2,2,2010-2011
3396,2,2,2010-2011
3397,0,0,2010-2011
3399,0,0,2010-2011
3401,3,3,2010-2011
3402,3,3,2010-2011
3405,3,3,2010-2011
3407,3,3,2010-2011
3409,1,1,2010-2011
3420,0,0,2010-2011
3421,2,2,2010-2011
3422,0,0,2010-2011
3423,0,0,2010-2011
3426,4,4,2010-2011
3431,1,2,2010-2011
3433,2,2,2010-2011
3434,0,0,2010-2011
3435,0,0,2010-2011
3436,3,3,2010-2011
3437,4,0,2010-2011
3439,0,0,2010-2011
3440,0,0,2010-2011
3441,1,1,2010-2011
3443,3,3,2010-2011
3444,0,0,2010-2011
3501,0,3,2010-2011
3512,4,2,2010-2011
3513,0,2,2010-2011
3521,4,4,2010-2011
3524,0,0,2010-2011
3526,0,1,2010-2011
3529,2,2,2010-2011
3551,0,0,2010-2011
3553,2,4,2010-2011
3569,0,3,2010-2011
3571,4,4,2010-2011
3577,1,0,2010-2011
3580,2,2,2010-2011
3583,4,4,2010-2011
3593,2,2,2010-2011
3597,2,2,2010-2011
3598,0,1,2010-2011
3600,4,4,2010-2011
3607,0,0,2010-2011
3612,3,3,2010-2011
3622,4,4,2010-2011
3623,1,1,2010-2011
3624,1,4,2010-2011
3626,3,3,2010-2011
3627,4,4,2010-2011
3628,1,4,2010-2011
3632,2,2,2010-2011
3633,4,4,2010-2011
3634,4,4,2010-2011
3635,2,2,2010-2011
3636,2,2,2010-2011
3639,4,4,2010-2011
3640,0,0,2010-2011
3641,4,4,2010-2011
3645,4,4,2010-2011
3648,4,4,2010-2011
3649,4,4,2010-2011
3653,4,4,2010-2011
3655,4,4,2010-2011
3656,1,4,2010-2011
3657,4,4,2010-2011
3659,3,2,2010-2011
3660,4,4,2010-2011
3661,4,4,2010-2011
3662,4,4,2010-2011
3664,4,0,2010-2011
3667,1,4,2010-2011
3668,4,4,2010-2011
3671,0,0,2010-2011
3673,4,4,2010-2011
3708,3,3,2010-2011
3710,4,4,2010-2011
3712,4,4,2010-2011
3719,1,1,2010-2011
3723,4,4,2010-2011
3727,4,4,2010-2011
3741,4,4,2010-2011
3744,1,1,2010-2011
3747,1,4,2010-2011
3750,1,1,2010-2011
3758,4,0,2010-2011
3760,4,4,2010-2011
3762,0,0,2010-2011
3763,4,4,2010-2011
3765,4,4,2010-2011
3766,4,4,2010-2011
3769,4,4,2010-2011
