コード,Cluster_From,Cluster_To,Period
8881,3,3,2019-2020
8887,1,2,2019-2020
8891,0,1,2019-2020
8892,3,3,2019-2020
8894,1,1,2019-2020
8897,3,3,2019-2020
8898,4,4,2019-2020
8904,0,0,2019-2020
8908,0,0,2019-2020
8912,0,0,2019-2020
8914,0,0,2019-2020
8917,0,3,2019-2020
8918,1,4,2019-2020
8919,0,3,2019-2020
8920,0,3,2019-2020
8923,0,3,2019-2020
8927,1,0,2019-2020
8928,3,0,2019-2020
8929,0,0,2019-2020
8931,0,0,2019-2020
8934,0,0,2019-2020
8935,0,3,2019-2020
8938,0,1,2019-2020
8940,0,0,2019-2020
8944,0,0,2019-2020
8945,4,4,2019-2020
8946,1,1,2019-2020
8995,4,0,2019-2020
8996,0,0,2019-2020
8999,0,0,2019-2020
9001,3,3,2019-2020
9003,3,3,2019-2020
9005,3,3,2019-2020
9006,3,3,2019-2020
9007,3,3,2019-2020
9008,3,3,2019-2020
9009,3,3,2019-2020
9010,3,3,2019-2020
9012,0,0,2019-2020
9017,0,0,2019-2020
9020,3,3,2019-2020
9021,3,3,2019-2020
9022,3,3,2019-2020
9023,3,3,2019-2020
9024,3,3,2019-2020
9025,3,3,2019-2020
9028,0,0,2019-2020
9029,0,0,2019-2020
9031,3,3,2019-2020
9033,0,0,2019-2020
9034,0,0,2019-2020
9036,2,2,2019-2020
9037,3,3,2019-2020
9039,3,3,2019-2020
9041,3,3,2019-2020
9042,3,3,2019-2020
9044,3,3,2019-2020
9045,3,3,2019-2020
9046,0,0,2019-2020
9048,3,3,2019-2020
9049,0,0,2019-2020
9051,0,0,2019-2020
9052,0,3,2019-2020
9057,0,0,2019-2020
9059,0,0,2019-2020
9060,0,0,2019-2020
9063,0,0,2019-2020
9064,3,3,2019-2020
9065,3,3,2019-2020
9067,0,0,2019-2020
9068,3,3,2019-2020
9069,3,3,2019-2020
9072,3,3,2019-2020
9073,0,0,2019-2020
9074,2,2,2019-2020
9075,3,3,2019-2020
9076,3,3,2019-2020
9081,3,0,2019-2020
9082,0,0,2019-2020
9083,2,2,2019-2020
9087,0,0,2019-2020
9090,0,0,2019-2020
9101,3,3,2019-2020
9104,3,3,2019-2020
9107,3,3,2019-2020
9110,3,3,2019-2020
9115,0,3,2019-2020
9119,3,3,2019-2020
9127,0,0,2019-2020
9130,0,0,2019-2020
9142,3,3,2019-2020
9143,3,3,2019-2020
9145,0,0,2019-2020
9171,0,0,2019-2020
9173,0,1,2019-2020
9193,0,0,2019-2020
9201,3,3,2019-2020
9202,3,3,2019-2020
9206,0,0,2019-2020
9211,1,1,2019-2020
9212,1,1,2019-2020
9213,0,0,2019-2020
9214,1,4,2019-2020
9218,1,1,2019-2020
9233,2,2,2019-2020
9240,0,0,2019-2020
9241,1,1,2019-2020
9242,4,4,2019-2020
9244,4,0,2019-2020
9245,4,4,2019-2020
9246,0,4,2019-2020
9249,0,0,2019-2020
9250,1,1,2019-2020
9251,0,0,2019-2020
9252,0,1,2019-2020
9258,4,4,2019-2020
9259,1,0,2019-2020
9262,4,4,2019-2020
9264,0,0,2019-2020
9265,4,2,2019-2020
9267,0,0,2019-2020
9268,0,0,2019-2020
9270,0,0,2019-2020
9271,1,1,2019-2020
9272,4,4,2019-2020
9273,0,0,2019-2020
9274,3,3,2019-2020
9278,0,0,2019-2020
9279,0,0,2019-2020
9301,3,3,2019-2020
9302,3,3,2019-2020
9303,3,3,2019-2020
9304,3,3,2019-2020
9305,0,0,2019-2020
9306,0,0,2019-2020
9307,0,0,2019-2020
9308,0,0,2019-2020
9310,3,3,2019-2020
9311,0,0,2019-2020
9312,0,0,2019-2020
9313,0,0,2019-2020
9319,2,0,2019-2020
9322,0,0,2019-2020
9324,3,0,2019-2020
9325,4,4,2019-2020
9326,0,0,2019-2020
9327,0,0,2019-2020
9351,0,0,2019-2020
9353,4,4,2019-2020
9355,0,0,2019-2020
9360,0,0,2019-2020
9361,0,0,2019-2020
9362,0,0,2019-2020
9363,4,4,2019-2020
9364,2,2,2019-2020
9365,0,0,2019-2020
9366,0,0,2019-2020
9367,0,0,2019-2020
9368,0,0,2019-2020
9369,0,3,2019-2020
9376,4,1,2019-2020
9380,0,0,2019-2020
9381,2,2,2019-2020
9385,0,0,2019-2020
9386,0,0,2019-2020
9401,2,2,2019-2020
9404,2,2,2019-2020
9405,2,2,2019-2020
9408,0,0,2019-2020
9409,2,2,2019-2020
9412,3,3,2019-2020
9413,2,2,2019-2020
9414,2,2,2019-2020
9416,2,4,2019-2020
9417,4,4,2019-2020
9418,3,3,2019-2020
9419,0,0,2019-2020
9421,0,0,2019-2020
9423,4,4,2019-2020
9424,1,1,2019-2020
9425,1,1,2019-2020
9428,0,0,2019-2020
9432,3,3,2019-2020
9433,3,3,2019-2020
9434,3,3,2019-2020
9435,3,3,2019-2020
9436,2,2,2019-2020
9438,0,0,2019-2020
9439,4,1,2019-2020
9441,2,2,2019-2020
9444,0,0,2019-2020
9445,0,0,2019-2020
9446,0,0,2019-2020
9449,3,3,2019-2020
9450,4,0,2019-2020
9466,0,0,2019-2020
9467,4,4,2019-2020
9468,3,3,2019-2020
9470,3,3,2019-2020
9474,3,3,2019-2020
9475,1,1,2019-2020
9476,4,4,2019-2020
9478,0,0,2019-2020
9501,3,3,2019-2020
9502,3,3,2019-2020
9503,3,3,2019-2020
9504,3,3,2019-2020
9505,3,3,2019-2020
9506,3,3,2019-2020
9507,3,3,2019-2020
9508,3,3,2019-2020
9509,3,3,2019-2020
9511,3,3,2019-2020
9513,3,3,2019-2020
9514,0,0,2019-2020
9517,0,3,2019-2020
9519,0,0,2019-2020
9531,3,3,2019-2020
9532,3,3,2019-2020
9533,3,3,2019-2020
9534,0,0,2019-2020
9535,0,0,2019-2020
9536,3,3,2019-2020
9537,0,2,2019-2020
9539,2,0,2019-2020
9543,2,2,2019-2020
9551,3,3,2019-2020
9600,0,0,2019-2020
9601,3,3,2019-2020
9602,3,3,2019-2020
9603,3,3,2019-2020
9605,3,3,2019-2020
9610,4,1,2019-2020
9612,0,1,2019-2020
9616,3,3,2019-2020
9619,0,0,2019-2020
9621,2,2,2019-2020
9622,2,2,2019-2020
9625,0,0,2019-2020
9627,3,3,2019-2020
9628,2,2,2019-2020
9629,2,2,2019-2020
9632,2,2,2019-2020
9633,0,0,2019-2020
9635,4,4,2019-2020
9636,0,0,2019-2020
9639,0,0,2019-2020
9640,2,2,2019-2020
9644,4,2,2019-2020
9647,0,0,2019-2020
9651,4,4,2019-2020
9656,0,1,2019-2020
9658,0,0,2019-2020
9661,4,4,2019-2020
9663,2,2,2019-2020
9672,2,2,2019-2020
9678,3,3,2019-2020
9679,4,1,2019-2020
9682,2,2,2019-2020
9684,2,2,2019-2020
9685,4,0,2019-2020
9686,0,0,2019-2020
9687,2,2,2019-2020
9691,0,0,2019-2020
9692,2,2,2019-2020
9697,2,2,2019-2020
9698,4,4,2019-2020
9699,3,3,2019-2020
9701,1,0,2019-2020
9702,0,2,2019-2020
9704,1,1,2019-2020
9706,3,3,2019-2020
9708,2,2,2019-2020
9709,2,2,2019-2020
9713,0,0,2019-2020
9715,3,3,2019-2020
9716,2,2,2019-2020
9719,3,3,2019-2020
9720,1,1,2019-2020
9722,0,1,2019-2020
9723,0,0,2019-2020
9726,2,2,2019-2020
9729,3,3,2019-2020
9731,0,1,2019-2020
9733,3,3,2019-2020
9735,3,3,2019-2020
9739,2,2,2019-2020
9740,0,0,2019-2020
9742,2,2,2019-2020
9743,2,2,2019-2020
9744,2,2,2019-2020
9746,2,2,2019-2020
9753,4,4,2019-2020
9755,2,2,2019-2020
9757,2,2,2019-2020
9759,2,2,2019-2020
9760,1,1,2019-2020
9761,0,0,2019-2020
9763,0,0,2019-2020
9765,4,4,2019-2020
9766,3,3,2019-2020
9767,0,0,2019-2020
9768,2,2,2019-2020
9769,0,0,2019-2020
9776,4,4,2019-2020
9778,4,4,2019-2020
9780,0,0,2019-2020
9782,2,2,2019-2020
9788,0,0,2019-2020
9790,2,2,2019-2020
9791,0,0,2019-2020
9793,2,3,2019-2020
9795,2,4,2019-2020
9799,2,2,2019-2020
9812,1,1,2019-2020
9816,0,0,2019-2020
9818,2,0,2019-2020
9820,4,4,2019-2020
9823,0,0,2019-2020
9824,2,2,2019-2020
9827,0,0,2019-2020
9828,0,0,2019-2020
9830,3,3,2019-2020
9831,3,3,2019-2020
9832,3,3,2019-2020
9835,0,0,2019-2020
9837,2,2,2019-2020
9842,2,2,2019-2020
9843,3,3,2019-2020
9845,0,0,2019-2020
9846,0,0,2019-2020
9849,4,4,2019-2020
9850,0,0,2019-2020
9853,4,4,2019-2020
9854,4,4,2019-2020
9856,0,0,2019-2020
9857,0,0,2019-2020
9861,3,3,2019-2020
9867,2,2,2019-2020
9869,3,3,2019-2020
9872,2,2,2019-2020
9876,1,1,2019-2020
9878,1,1,2019-2020
9880,0,0,2019-2020
9882,2,2,2019-2020
9885,2,2,2019-2020
9887,0,0,2019-2020
9888,0,0,2019-2020
9889,2,2,2019-2020
9890,0,0,2019-2020
9895,0,0,2019-2020
9896,3,3,2019-2020
9900,0,0,2019-2020
9902,2,2,2019-2020
9903,0,0,2019-2020
9904,4,4,2019-2020
9906,2,2,2019-2020
9908,0,0,2019-2020
9913,0,0,2019-2020
9914,4,4,2019-2020
9927,4,4,2019-2020
9928,0,0,2019-2020
9929,2,2,2019-2020
9930,2,2,2019-2020
9932,2,2,2019-2020
9934,2,2,2019-2020
9936,2,2,2019-2020
9941,1,1,2019-2020
9946,0,3,2019-2020
9948,3,3,2019-2020
9950,4,4,2019-2020
9955,0,0,2019-2020
9956,3,3,2019-2020
9959,0,0,2019-2020
9960,0,3,2019-2020
9962,2,2,2019-2020
9969,1,1,2019-2020
9972,0,0,2019-2020
9973,1,1,2019-2020
9974,3,3,2019-2020
9976,0,0,2019-2020
9978,1,0,2019-2020
9979,0,1,2019-2020
9980,4,2,2019-2020
9982,0,2,2019-2020
9983,3,3,2019-2020
9984,3,3,2019-2020
9986,4,4,2019-2020
9987,2,2,2019-2020
9989,2,2,2019-2020
9990,2,2,2019-2020
9991,0,2,2019-2020
9993,0,0,2019-2020
9994,3,3,2019-2020
9996,2,2,2019-2020
9997,3,3,2019-2020
1301,3,3,2020-2021
1332,3,3,2020-2021
1333,3,3,2020-2021
1375,0,0,2020-2021
1376,2,2,2020-2021
1377,2,2,2020-2021
1379,3,0,2020-2021
1380,0,0,2020-2021
1381,2,2,2020-2021
1382,1,4,2020-2021
1383,0,0,2020-2021
1384,0,0,2020-2021
1401,4,4,2020-2021
1407,3,0,2020-2021
1414,2,2,2020-2021
1417,3,2,2020-2021
1418,0,0,2020-2021
1419,3,3,2020-2021
1420,1,0,2020-2021
1429,0,0,2020-2021
1430,0,0,2020-2021
1431,0,0,2020-2021
1433,0,4,2020-2021
1434,0,0,2020-2021
1435,1,4,2020-2021
1436,1,0,2020-2021
1438,0,4,2020-2021
1443,0,0,2020-2021
1444,4,4,2020-2021
1446,0,0,2020-2021
1447,0,1,2020-2021
1450,4,4,2020-2021
1491,0,0,2020-2021
1514,2,2,2020-2021
1515,3,3,2020-2021
1518,0,0,2020-2021
1605,3,3,2020-2021
1662,3,3,2020-2021
1663,2,2,2020-2021
1711,1,1,2020-2021
1712,0,0,2020-2021
1716,2,2,2020-2021
1717,4,4,2020-2021
1718,0,0,2020-2021
1719,3,3,2020-2021
1720,3,3,2020-2021
1721,3,3,2020-2021
1723,2,2,2020-2021
1724,0,0,2020-2021
1726,0,0,2020-2021
1736,0,0,2020-2021
1743,0,4,2020-2021
1758,4,4,2020-2021
1762,3,3,2020-2021
1764,0,0,2020-2021
1766,2,2,2020-2021
1768,4,2,2020-2021
1770,2,2,2020-2021
1776,2,2,2020-2021
1780,0,4,2020-2021
1783,1,1,2020-2021
1786,2,0,2020-2021
1787,4,4,2020-2021
1788,4,4,2020-2021
1793,2,2,2020-2021
1795,0,4,2020-2021
1798,0,0,2020-2021
1799,2,2,2020-2021
1801,3,3,2020-2021
1802,3,3,2020-2021
1803,3,3,2020-2021
1807,0,2,2020-2021
1808,3,3,2020-2021
1810,2,2,2020-2021
1811,3,3,2020-2021
1812,3,3,2020-2021
1813,1,0,2020-2021
1814,0,0,2020-2021
1815,3,3,2020-2021
1820,3,3,2020-2021
1821,3,3,2020-2021
1822,3,3,2020-2021
1826,0,0,2020-2021
1827,3,0,2020-2021
1828,0,0,2020-2021
1833,3,3,2020-2021
1835,2,2,2020-2021
1840,4,2,2020-2021
1841,2,4,2020-2021
1844,0,0,2020-2021
1847,0,0,2020-2021
1848,0,0,2020-2021
1850,0,0,2020-2021
1852,3,3,2020-2021
1853,2,2,2020-2021
1860,3,3,2020-2021
1861,3,3,2020-2021
1866,2,0,2020-2021
1867,0,0,2020-2021
1870,3,0,2020-2021
1871,2,0,2020-2021
1873,0,0,2020-2021
1878,3,3,2020-2021
1879,2,2,2020-2021
1882,3,3,2020-2021
1885,3,3,2020-2021
1887,3,3,2020-2021
1888,0,0,2020-2021
1890,3,3,2020-2021
1893,3,3,2020-2021
1897,2,2,2020-2021
1898,3,0,2020-2021
1899,3,3,2020-2021
1904,2,2,2020-2021
1905,2,2,2020-2021
1909,0,0,2020-2021
1911,3,3,2020-2021
1914,2,2,2020-2021
1921,0,0,2020-2021
1925,3,3,2020-2021
1926,2,2,2020-2021
1928,3,3,2020-2021
1929,3,2,2020-2021
1930,2,2,2020-2021
1934,3,3,2020-2021
1938,2,2,2020-2021
1939,0,3,2020-2021
1941,3,2,2020-2021
1942,3,3,2020-2021
1944,3,3,2020-2021
1945,2,0,2020-2021
1946,3,3,2020-2021
1948,2,2,2020-2021
1949,3,3,2020-2021
1950,2,2,2020-2021
1951,3,3,2020-2021
1952,3,3,2020-2021
1959,3,3,2020-2021
1960,0,1,2020-2021
1961,3,3,2020-2021
1963,3,3,2020-2021
1964,0,0,2020-2021
1965,2,2,2020-2021
1966,0,0,2020-2021
1967,2,2,2020-2021
1968,0,2,2020-2021
1969,3,3,2020-2021
1972,2,2,2020-2021
1975,3,0,2020-2021
1976,2,2,2020-2021
1979,3,3,2020-2021
1980,3,3,2020-2021
1981,2,2,2020-2021
1982,2,2,2020-2021
1992,4,4,2020-2021
1994,0,0,2020-2021
1997,4,4,2020-2021
2001,3,3,2020-2021
2002,3,3,2020-2021
2003,2,2,2020-2021
2004,3,3,2020-2021
2009,2,0,2020-2021
2053,3,0,2020-2021
2055,2,2,2020-2021
2060,0,0,2020-2021
2108,0,0,2020-2021
2109,3,3,2020-2021
2112,0,0,2020-2021
2114,0,0,2020-2021
2117,2,2,2020-2021
2120,0,0,2020-2021
2121,3,3,2020-2021
2122,4,2,2020-2021
2124,2,2,2020-2021
2127,2,2,2020-2021
2130,4,4,2020-2021
2134,1,1,2020-2021
2136,4,4,2020-2021
2138,1,0,2020-2021
2139,1,1,2020-2021
2146,0,0,2020-2021
2148,4,2,2020-2021
2150,4,4,2020-2021
2152,4,2,2020-2021
2153,0,0,2020-2021
2154,0,0,2020-2021
2156,0,1,2020-2021
2157,0,1,2020-2021
2158,1,0,2020-2021
2160,1,0,2020-2021
2162,0,0,2020-2021
2163,4,4,2020-2021
2164,1,1,2020-2021
2168,3,3,2020-2021
2169,4,2,2020-2021
2170,2,2,2020-2021
2173,0,1,2020-2021
2175,0,0,2020-2021
2179,0,0,2020-2021
2180,0,0,2020-2021
2181,3,3,2020-2021
2183,0,0,2020-2021
2185,2,2,2020-2021
2186,4,4,2020-2021
2193,2,2,2020-2021
2195,0,4,2020-2021
2196,0,1,2020-2021
2198,1,0,2020-2021
2201,2,2,2020-2021
2204,1,1,2020-2021
2206,3,3,2020-2021
2207,0,0,2020-2021
2208,3,0,2020-2021
2209,0,0,2020-2021
2211,3,2,2020-2021
2212,3,3,2020-2021
2215,0,1,2020-2021
2216,4,2,2020-2021
2217,2,2,2020-2021
2220,0,0,2020-2021
2221,2,0,2020-2021
2222,2,2,2020-2021
2224,0,0,2020-2021
2226,2,0,2020-2021
2229,2,3,2020-2021
2264,3,3,2020-2021
2266,2,2,2020-2021
2267,3,3,2020-2021
2268,4,2,2020-2021
2269,3,3,2020-2021
2270,3,3,2020-2021
2281,3,3,2020-2021
2282,2,2,2020-2021
2286,0,0,2020-2021
2288,3,0,2020-2021
2291,1,1,2020-2021
2292,3,3,2020-2021
2293,0,0,2020-2021
2294,2,2,2020-2021
2296,3,3,2020-2021
2300,4,1,2020-2021
2301,4,2,2020-2021
2303,4,4,2020-2021
2304,0,1,2020-2021
2305,2,2,2020-2021
2307,4,4,2020-2021
2311,4,4,2020-2021
2315,1,1,2020-2021
2317,2,2,2020-2021
2321,1,4,2020-2021
2323,1,4,2020-2021
2325,2,2,2020-2021
2326,2,2,2020-2021
2327,2,2,2020-2021
2329,2,2,2020-2021
2330,1,0,2020-2021
2331,3,3,2020-2021
2332,4,4,2020-2021
2334,4,1,2020-2021
2335,2,2,2020-2021
2337,3,3,2020-2021
2338,1,1,2020-2021
2340,1,1,2020-2021
2341,4,4,2020-2021
2342,1,0,2020-2021
2344,2,2,2020-2021
2345,4,1,2020-2021
2349,2,2,2020-2021
2351,0,4,2020-2021
2353,0,0,2020-2021
2354,4,2,2020-2021
2359,0,2,2020-2021
2370,1,1,2020-2021
2371,2,3,2020-2021
2373,0,0,2020-2021
2374,0,0,2020-2021
2375,0,0,2020-2021
2376,4,0,2020-2021
2378,0,1,2020-2021
2379,2,2,2020-2021
2384,3,3,2020-2021
2385,4,4,2020-2021
2388,0,4,2020-2021
2389,3,2,2020-2021
2391,4,4,2020-2021
2393,2,4,2020-2021
2395,0,0,2020-2021
2404,1,1,2020-2021
2408,1,4,2020-2021
2410,4,4,2020-2021
2411,4,1,2020-2021
2413,2,2,2020-2021
2415,3,0,2020-2021
2418,1,0,2020-2021
2424,0,0,2020-2021
2425,4,4,2020-2021
2428,0,0,2020-2021
2429,3,3,2020-2021
2432,2,3,2020-2021
2433,3,3,2020-2021
2435,0,0,2020-2021
2436,0,4,2020-2021
2437,1,4,2020-2021
2438,4,4,2020-2021
2440,2,2,2020-2021
2445,0,0,2020-2021
2449,4,4,2020-2021
2454,4,4,2020-2021
2459,1,1,2020-2021
2461,2,2,2020-2021
2462,0,0,2020-2021
2464,0,0,2020-2021
2469,0,1,2020-2021
2471,0,0,2020-2021
2475,2,2,2020-2021
2477,4,4,2020-2021
2479,1,4,2020-2021
2480,4,4,2020-2021
2481,4,4,2020-2021
2483,4,2,2020-2021
2484,1,1,2020-2021
2485,0,0,2020-2021
2488,4,4,2020-2021
2489,4,4,2020-2021
2491,2,2,2020-2021
2492,2,2,2020-2021
2493,4,1,2020-2021
2497,2,2,2020-2021
2498,0,0,2020-2021
2499,0,0,2020-2021
2501,3,3,2020-2021
2502,3,3,2020-2021
2503,3,3,2020-2021
2531,3,3,2020-2021
2533,0,0,2020-2021
2540,4,2,2020-2021
2573,2,2,2020-2021
2579,3,3,2020-2021
2585,0,0,2020-2021
2586,1,1,2020-2021
2587,3,3,2020-2021
2588,0,0,2020-2021
2590,2,3,2020-2021
2593,3,3,2020-2021
2594,2,0,2020-2021
2597,0,0,2020-2021
2602,3,3,2020-2021
2607,3,3,2020-2021
2612,0,2,2020-2021
2613,2,2,2020-2021
2652,0,0,2020-2021
2653,3,3,2020-2021
2654,2,2,2020-2021
2659,2,2,2020-2021
2664,3,3,2020-2021
2666,4,4,2020-2021
2667,1,1,2020-2021
2668,4,1,2020-2021
2669,2,2,2020-2021
2670,2,2,2020-2021
2673,4,4,2020-2021
2674,4,2,2020-2021
2676,2,2,2020-2021
2678,3,3,2020-2021
2681,3,3,2020-2021
2683,0,0,2020-2021
2685,2,2,2020-2021
2686,1,1,2020-2021
2687,0,0,2020-2021
2689,0,0,2020-2021
2692,3,2,2020-2021
2693,0,0,2020-2021
2694,0,1,2020-2021
2695,2,0,2020-2021
2698,2,2,2020-2021
2700,0,0,2020-2021
2702,2,2,2020-2021
2705,0,1,2020-2021
2708,1,1,2020-2021
2721,1,1,2020-2021
2722,0,4,2020-2021
2726,3,3,2020-2021
2730,3,3,2020-2021
2733,3,3,2020-2021
2734,3,3,2020-2021
2735,0,0,2020-2021
2736,1,0,2020-2021
2737,2,0,2020-2021
2742,0,0,2020-2021
2743,1,1,2020-2021
2747,0,0,2020-2021
2749,2,0,2020-2021
2750,0,0,2020-2021
2751,4,0,2020-2021
2752,1,1,2020-2021
2753,2,1,2020-2021
2760,3,0,2020-2021
2762,1,1,2020-2021
2763,2,2,2020-2021
2764,0,1,2020-2021
2767,2,0,2020-2021
2768,3,3,2020-2021
2769,1,0,2020-2021
2776,1,1,2020-2021
2778,0,1,2020-2021
2780,1,0,2020-2021
2782,2,2,2020-2021
2784,3,3,2020-2021
2788,0,0,2020-2021
2789,4,1,2020-2021
2790,3,3,2020-2021
2791,3,3,2020-2021
2792,2,2,2020-2021
2795,4,2,2020-2021
2796,0,0,2020-2021
2798,0,1,2020-2021
2801,3,3,2020-2021
2802,3,3,2020-2021
2804,0,0,2020-2021
2805,3,3,2020-2021
2806,2,2,2020-2021
2809,3,3,2020-2021
2810,3,3,2020-2021
2811,3,3,2020-2021
2813,0,0,2020-2021
2814,2,2,2020-2021
2815,2,2,2020-2021
2816,4,4,2020-2021
2818,0,0,2020-2021
2819,2,2,2020-2021
2820,0,0,2020-2021
2831,0,0,2020-2021
2871,3,3,2020-2021
2872,1,4,2020-2021
2874,0,0,2020-2021
2875,2,2,2020-2021
2876,0,0,2020-2021
2877,0,0,2020-2021
2882,0,0,2020-2021
2883,4,2,2020-2021
2884,0,0,2020-2021
2892,0,0,2020-2021
2894,1,4,2020-2021
2897,3,3,2020-2021
2901,1,1,2020-2021
2903,0,0,2020-2021
2904,0,0,2020-2021
2907,0,0,2020-2021
2908,2,2,2020-2021
2910,2,2,2020-2021
2911,0,4,2020-2021
2914,3,3,2020-2021
2915,2,2,2020-2021
2916,0,0,2020-2021
2917,0,0,2020-2021
2918,2,2,2020-2021
2922,0,0,2020-2021
2923,0,0,2020-2021
2924,0,0,2020-2021
2926,4,4,2020-2021
2927,0,0,2020-2021
2929,0,0,2020-2021
2931,1,1,2020-2021
2932,0,0,2020-2021
2933,0,0,2020-2021
2934,4,4,2020-2021
2961,0,0,2020-2021
2970,4,0,2020-2021
2975,0,0,2020-2021
2978,1,1,2020-2021
2980,4,0,2020-2021
2981,0,0,2020-2021
2982,0,0,2020-2021
2983,0,0,2020-2021
2984,0,0,2020-2021
2986,0,0,2020-2021
2991,0,0,2020-2021
2993,0,0,2020-2021
2997,4,1,2020-2021
2998,0,0,2020-2021
2999,1,0,2020-2021
3001,3,3,2020-2021
3002,3,2,2020-2021
3003,3,3,2020-2021
3004,1,0,2020-2021
3010,1,1,2020-2021
3011,0,0,2020-2021
3020,0,4,2020-2021
3021,0,4,2020-2021
3023,2,0,2020-2021
3024,0,0,2020-2021
3028,2,3,2020-2021
3030,4,1,2020-2021
3031,0,4,2020-2021
3034,3,3,2020-2021
3035,0,0,2020-2021
3036,3,3,2020-2021
3038,3,3,2020-2021
3040,0,2,2020-2021
3041,1,1,2020-2021
3042,4,4,2020-2021
3045,4,4,2020-2021
3046,0,0,2020-2021
3048,3,3,2020-2021
3050,3,3,2020-2021
3053,1,1,2020-2021
3054,0,4,2020-2021
3058,1,0,2020-2021
3059,2,0,2020-2021
3063,0,1,2020-2021
3064,0,2,2020-2021
3065,4,1,2020-2021
3067,1,1,2020-2021
3068,0,1,2020-2021
3069,3,1,2020-2021
3070,1,1,2020-2021
3071,0,0,2020-2021
3073,0,1,2020-2021
3075,4,4,2020-2021
3076,2,2,2020-2021
3077,4,1,2020-2021
3079,2,2,2020-2021
3080,0,0,2020-2021
3082,1,1,2020-2021
3083,1,1,2020-2021
3086,3,3,2020-2021
3087,2,2,2020-2021
3088,3,3,2020-2021
3089,1,1,2020-2021
3091,0,0,2020-2021
3092,3,3,2020-2021
3093,0,0,2020-2021
3094,0,0,2020-2021
3096,0,0,2020-2021
3097,0,0,2020-2021
3099,3,3,2020-2021
3101,3,3,2020-2021
3103,3,3,2020-2021
3104,0,0,2020-2021
3105,3,3,2020-2021
3106,3,3,2020-2021
3107,3,3,2020-2021
3109,0,0,2020-2021
3110,3,3,2020-2021
3111,1,1,2020-2021
3113,1,1,2020-2021
3116,3,3,2020-2021
3121,4,4,2020-2021
3123,0,0,2020-2021
3131,0,0,2020-2021
3132,3,3,2020-2021
3133,1,1,2020-2021
3134,0,4,2020-2021
3135,0,4,2020-2021
3137,0,1,2020-2021
3138,0,4,2020-2021
3139,0,0,2020-2021
3140,0,0,2020-2021
3141,3,3,2020-2021
3143,0,0,2020-2021
3148,2,2,2020-2021
3150,4,0,2020-2021
3151,3,3,2020-2021
3153,2,0,2020-2021
3154,3,0,2020-2021
3156,3,3,2020-2021
3157,3,0,2020-2021
3159,3,3,2020-2021
3160,0,0,2020-2021
3161,4,4,2020-2021
3166,3,0,2020-2021
3167,3,3,2020-2021
3168,0,1,2020-2021
3169,0,4,2020-2021
3172,4,4,2020-2021
3173,0,0,2020-2021
3174,0,1,2020-2021
3175,0,1,2020-2021
3176,0,0,2020-2021
3177,4,4,2020-2021
3178,2,1,2020-2021
3179,0,0,2020-2021
3180,0,0,2020-2021
3181,4,4,2020-2021
3182,0,0,2020-2021
3183,2,2,2020-2021
3184,0,0,2020-2021
3185,1,1,2020-2021
3186,3,3,2020-2021
3187,0,0,2020-2021
3189,1,1,2020-2021
3190,0,0,2020-2021
3191,2,2,2020-2021
3192,0,1,2020-2021
3193,0,1,2020-2021
3195,0,0,2020-2021
3196,0,0,2020-2021
3197,3,3,2020-2021
3198,2,1,2020-2021
3199,0,0,2020-2021
3201,3,3,2020-2021
3202,0,0,2020-2021
3204,0,0,2020-2021
3205,1,1,2020-2021
3221,2,4,2020-2021
3222,3,3,2020-2021
3223,1,1,2020-2021
3224,1,1,2020-2021
3231,3,3,2020-2021
3232,0,0,2020-2021
3236,0,0,2020-2021
3237,1,1,2020-2021
3238,0,0,2020-2021
3241,0,0,2020-2021
3242,0,0,2020-2021
3245,2,0,2020-2021
3246,0,0,2020-2021
3248,0,0,2020-2021
3252,3,0,2020-2021
3261,1,4,2020-2021
3266,4,4,2020-2021
3267,0,4,2020-2021
3271,1,1,2020-2021
3276,0,0,2020-2021
3277,0,0,2020-2021
3280,0,0,2020-2021
3284,3,3,2020-2021
3286,0,0,2020-2021
3288,3,3,2020-2021
3289,3,3,2020-2021
3291,3,3,2020-2021
3293,0,0,2020-2021
3294,0,0,2020-2021
3297,0,4,2020-2021
3299,0,0,2020-2021
3300,0,0,2020-2021
3302,2,0,2020-2021
3306,0,4,2020-2021
3315,3,0,2020-2021
3317,4,4,2020-2021
3320,0,0,2020-2021
3321,2,2,2020-2021
3323,1,0,2020-2021
3326,1,1,2020-2021
3329,4,1,2020-2021
3333,2,2,2020-2021
3341,3,3,2020-2021
3349,3,3,2020-2021
3350,1,1,2020-2021
3352,4,4,2020-2021
3353,0,0,2020-2021
3355,0,0,2020-2021
3358,1,1,2020-2021
3359,0,0,2020-2021
3360,3,3,2020-2021
3361,0,2,2020-2021
3370,1,1,2020-2021
3371,2,0,2020-2021
3372,1,1,2020-2021
3374,0,0,2020-2021
3375,4,4,2020-2021
3377,4,4,2020-2021
3382,3,3,2020-2021
3386,4,4,2020-2021
3387,3,1,2020-2021
3388,2,2,2020-2021
3391,3,3,2020-2021
3392,0,0,2020-2021
3393,4,0,2020-2021
3395,2,1,2020-2021
3396,2,2,2020-2021
3397,3,3,2020-2021
3399,0,0,2020-2021
3401,3,3,2020-2021
3402,3,3,2020-2021
3405,3,3,2020-2021
3407,3,3,2020-2021
3409,1,1,2020-2021
3415,0,4,2020-2021
